,NII@NI225,IKS200,IKQ150,A132030,SPI@SPX
,NIKKEI 225 INDEX,코스피 200,코스닥 150,KODEX 골드선물(H),S&P 500
2012-12-03,9458 ,256 ,877 ,13230 ,1409 
2012-12-04,9432 ,255 ,885 ,13110 ,1407 
2012-12-05,9469 ,257 ,872 ,13100 ,1409 
2012-12-06,9545 ,257 ,855 ,13015 ,1414 
2012-12-07,9527 ,259 ,861 ,13130 ,1418 
2012-12-10,9534 ,259 ,862 ,13145 ,1419 
2012-12-11,9525 ,260 ,848 ,13195 ,1428 
2012-12-12,9581 ,262 ,858 ,13190 ,1428 
2012-12-13,9743 ,266 ,866 ,13110 ,1419 
2012-12-14,9738 ,265 ,868 ,13100 ,1414 
2012-12-17,9829 ,263 ,854 ,13050 ,1430 
2012-12-18,9923 ,264 ,851 ,13130 ,1447 
2012-12-20,10039 ,265 ,843 ,12835 ,1444 
2012-12-21,9940 ,262 ,844 ,12670 ,1430 
2012-12-24,,262 ,857 ,12800 ,1427 
2012-12-26,10230 ,262 ,852 ,12760 ,1420 
2012-12-27,10323 ,263 ,874 ,12795 ,1418 
2012-12-28,10395 ,264 ,880 ,12815 ,1402 
2013-01-02,,269 ,889 ,12975 ,1462 
2013-01-03,,268 ,882 ,13020 ,1459 
2013-01-04,10688 ,266 ,895 ,12745 ,1466 
2013-01-07,10599 ,266 ,904 ,12790 ,1462 
2013-01-08,10508 ,264 ,903 ,12730 ,1457 
2013-01-09,10579 ,263 ,909 ,12800 ,1461 
2013-01-10,10653 ,265 ,913 ,12780 ,1472 
2013-01-11,10802 ,263 ,914 ,12925 ,1472 
2013-01-14,,265 ,907 ,12855 ,1471 
2013-01-15,10879 ,261 ,896 ,12895 ,1472 
2013-01-16,10600 ,260 ,896 ,12950 ,1473 
2013-01-17,10610 ,260 ,893 ,12920 ,1481 
2013-01-18,10913 ,262 ,903 ,13020 ,1486 
2013-01-21,10748 ,261 ,906 ,13045 ,
2013-01-22,10710 ,263 ,910 ,13050 ,1493 
2013-01-23,10487 ,261 ,903 ,13055 ,1495 
2013-01-24,10621 ,259 ,893 ,12960 ,1495 
2013-01-25,10927 ,256 ,891 ,12905 ,1503 
2013-01-28,10824 ,255 ,883 ,12815 ,1500 
2013-01-29,10867 ,257 ,886 ,12810 ,1508 
2013-01-30,11114 ,258 ,881 ,12870 ,1502 
2013-01-31,11139 ,258 ,884 ,12980 ,1498 
2013-02-01,11191 ,258 ,885 ,12820 ,1513 
2013-02-04,11260 ,257 ,886 ,12870 ,1496 
2013-02-05,11047 ,255 ,880 ,12910 ,1511 
2013-02-06,11464 ,254 ,889 ,12890 ,1512 
2013-02-07,11357 ,254 ,886 ,12935 ,1509 
2013-02-08,11153 ,257 ,891 ,12870 ,1518 
2013-02-12,11369 ,257 ,887 ,12715 ,1519 
2013-02-13,11251 ,261 ,894 ,12740 ,1520 
2013-02-14,11307 ,261 ,902 ,12680 ,1521 
2013-02-15,11174 ,262 ,903 ,12590 ,1520 
2013-02-18,11408 ,262 ,911 ,12475 ,
2013-02-19,11372 ,262 ,920 ,12460 ,1531 
2013-02-20,11468 ,268 ,925 ,12385 ,1512 
2013-02-21,11309 ,267 ,924 ,12075 ,1502 
2013-02-22,11386 ,267 ,931 ,12245 ,1516 
2013-02-25,11663 ,266 ,929 ,12230 ,1488 
2013-02-26,11399 ,265 ,933 ,12320 ,1497 
2013-02-27,11254 ,265 ,942 ,12445 ,1516 
2013-02-28,11559 ,268 ,944 ,12595 ,1515 
2013-03-04,11652 ,266 ,949 ,12210 ,1525 
2013-03-05,11683 ,267 ,963 ,12205 ,1540 
2013-03-06,11932 ,267 ,962 ,12210 ,1541 
2013-03-07,11968 ,265 ,957 ,12245 ,1544 
2013-03-08,12284 ,265 ,959 ,12205 ,1551 
2013-03-11,12349 ,264 ,956 ,12235 ,1556 
2013-03-12,12315 ,262 ,963 ,12215 ,1552 
2013-03-13,12240 ,263 ,972 ,12300 ,1555 
2013-03-14,12381 ,263 ,977 ,12275 ,1563 
2013-03-15,12561 ,261 ,980 ,12320 ,1561 
2013-03-18,12221 ,258 ,953 ,12345 ,1552 
2013-03-19,12468 ,260 ,970 ,12395 ,1548 
2013-03-20,,257 ,963 ,12435 ,1559 
2013-03-21,12636 ,256 ,961 ,12395 ,1546 
2013-03-22,12339 ,255 ,973 ,12445 ,1557 
2013-03-25,12546 ,260 ,965 ,12410 ,1552 
2013-03-26,12472 ,261 ,965 ,12380 ,1564 
2013-03-27,12494 ,262 ,962 ,12355 ,1563 
2013-03-28,12336 ,262 ,970 ,12420 ,1569 
2013-03-29,12398 ,263 ,973 ,12385 ,
2013-04-01,12135 ,262 ,969 ,12350 ,1562 
2013-04-02,12003 ,261 ,969 ,12350 ,1570 
2013-04-03,12362 ,260 ,982 ,12120 ,1554 
2013-04-04,12635 ,257 ,981 ,11990 ,1560 
2013-04-05,12834 ,253 ,967 ,11985 ,1553 
2013-04-08,13193 ,252 ,931 ,12155 ,1563 
2013-04-09,13192 ,253 ,933 ,12160 ,1569 
2013-04-10,13288 ,254 ,941 ,12245 ,1588 
2013-04-11,13549 ,256 ,954 ,12065 ,1593 
2013-04-12,13485 ,252 ,960 ,12070 ,1589 
2013-04-15,13276 ,252 ,971 ,11205 ,1552 
2013-04-16,13221 ,252 ,983 ,10530 ,1575 
2013-04-17,13383 ,252 ,978 ,10615 ,1552 
2013-04-18,13220 ,248 ,957 ,10565 ,1542 
2013-04-19,13316 ,249 ,935 ,10885 ,1555 
2013-04-22,13568 ,251 ,942 ,10965 ,1563 
2013-04-23,13530 ,250 ,957 ,11015 ,1579 
2013-04-24,13843 ,252 ,976 ,11050 ,1579 
2013-04-25,13926 ,254 ,961 ,11190 ,1585 
2013-04-26,13884 ,253 ,971 ,11400 ,1582 
2013-04-29,,252 ,974 ,11325 ,1594 
2013-04-30,13861 ,256 ,962 ,11330 ,1598 
2013-05-02,13694 ,255 ,952 ,11230 ,1598 
2013-05-03,,256 ,959 ,11400 ,1614 
2013-05-06,,255 ,961 ,11405 ,1618 
2013-05-07,14180 ,254 ,973 ,11305 ,1626 
2013-05-08,14286 ,254 ,975 ,11205 ,1633 
2013-05-09,14191 ,258 ,965 ,11375 ,1627 
2013-05-10,14608 ,253 ,958 ,11300 ,1634 
2013-05-13,14782 ,253 ,952 ,11085 ,1634 
2013-05-14,14758 ,256 ,948 ,11135 ,1650 
2013-05-15,15096 ,257 ,956 ,10995 ,1659 
2013-05-16,15037 ,259 ,959 ,10790 ,1650 
2013-05-20,15361 ,259 ,962 ,10390 ,1666 
2013-05-21,15381 ,258 ,971 ,10785 ,1669 
2013-05-22,15627 ,260 ,970 ,10655 ,1655 
2013-05-23,14484 ,257 ,962 ,10615 ,1651 
2013-05-24,14612 ,257 ,971 ,10760 ,1650 
2013-05-27,14143 ,258 ,976 ,10750 ,
2013-05-28,14312 ,259 ,992 ,10725 ,1660 
2013-05-29,14326 ,261 ,992 ,10670 ,1648 
2013-05-30,13589 ,261 ,985 ,10810 ,1654 
2013-05-31,13775 ,261 ,980 ,10930 ,1631 
2013-06-03,13262 ,260 ,962 ,10800 ,1640 
2013-06-04,13534 ,261 ,948 ,10855 ,1631 
2013-06-05,13015 ,257 ,925 ,10860 ,1609 
2013-06-07,12878 ,251 ,902 ,10935 ,1643 
2013-06-10,13514 ,252 ,922 ,10675 ,1643 
2013-06-11,13318 ,250 ,921 ,10670 ,1626 
2013-06-12,13289 ,249 ,917 ,10625 ,1613 
2013-06-13,12445 ,244 ,908 ,10725 ,1636 
2013-06-14,12687 ,245 ,900 ,10695 ,1627 
2013-06-17,13033 ,245 ,882 ,10710 ,1639 
2013-06-18,13007 ,247 ,901 ,10670 ,1652 
2013-06-19,13245 ,245 ,894 ,10560 ,1629 
2013-06-20,13015 ,240 ,887 ,10340 ,1588 
2013-06-21,13230 ,237 ,882 ,10025 ,1592 
2013-06-24,13063 ,233 ,861 ,9875 ,1573 
2013-06-25,12969 ,232 ,818 ,9850 ,1588 
2013-06-26,12834 ,232 ,841 ,9630 ,1603 
2013-06-27,13214 ,239 ,874 ,9580 ,1613 
2013-06-28,13677 ,242 ,886 ,9340 ,1606 
2013-07-01,13853 ,241 ,906 ,9595 ,1615 
2013-07-02,14099 ,241 ,910 ,9725 ,1614 
2013-07-03,14056 ,237 ,901 ,9580 ,1615 
2013-07-04,14019 ,239 ,906 ,9660 ,
2013-07-05,14310 ,237 ,905 ,9600 ,1632 
2013-07-08,14109 ,235 ,888 ,9420 ,1640 
2013-07-09,14473 ,237 ,889 ,9710 ,1652 
2013-07-10,14417 ,236 ,883 ,9610 ,1653 
2013-07-11,14473 ,244 ,904 ,9975 ,1675 
2013-07-12,14506 ,243 ,912 ,9880 ,1680 
2013-07-15,,243 ,908 ,9945 ,1683 
2013-07-16,14599 ,242 ,920 ,9895 ,1676 
2013-07-17,14615 ,245 ,928 ,9945 ,1681 
2013-07-18,14809 ,243 ,926 ,9840 ,1689 
2013-07-19,14590 ,242 ,926 ,9955 ,1692 
2013-07-22,14658 ,243 ,925 ,10155 ,1696 
2013-07-23,14779 ,247 ,925 ,10250 ,1692 
2013-07-24,14731 ,248 ,927 ,10305 ,1686 
2013-07-25,14563 ,248 ,923 ,10190 ,1690 
2013-07-26,14130 ,248 ,931 ,10295 ,1692 
2013-07-29,13661 ,247 ,927 ,10220 ,1685 
2013-07-30,13870 ,249 ,940 ,10220 ,1686 
2013-07-31,13668 ,248 ,962 ,10260 ,1686 
2013-08-01,14006 ,249 ,946 ,10150 ,1707 
2013-08-02,14466 ,249 ,949 ,9940 ,1710 
2013-08-05,14258 ,248 ,961 ,10120 ,1707 
2013-08-06,14401 ,247 ,963 ,9930 ,1697 
2013-08-07,13825 ,243 ,959 ,9840 ,1691 
2013-08-08,13606 ,243 ,958 ,9980 ,1697 
2013-08-09,13615 ,243 ,953 ,10085 ,1691 
2013-08-12,13519 ,244 ,942 ,10245 ,1689 
2013-08-13,13867 ,248 ,945 ,10285 ,1694 
2013-08-14,14050 ,250 ,944 ,10170 ,1685 
2013-08-16,13650 ,249 ,940 ,10500 ,1656 
2013-08-19,13758 ,249 ,947 ,10640 ,1646 
2013-08-20,13396 ,245 ,927 ,10470 ,1652 
2013-08-21,13424 ,242 ,915 ,10530 ,1643 
2013-08-22,13365 ,240 ,891 ,10500 ,1657 
2013-08-23,13661 ,243 ,911 ,10580 ,1664 
2013-08-26,13636 ,246 ,917 ,10765 ,1657 
2013-08-27,13542 ,246 ,898 ,10765 ,1630 
2013-08-28,13338 ,246 ,885 ,10995 ,1635 
2013-08-29,13460 ,249 ,887 ,10815 ,1638 
2013-08-30,13389 ,252 ,875 ,10850 ,1633 
2013-09-02,13573 ,251 ,895 ,10770 ,
2013-09-03,13978 ,252 ,895 ,10730 ,1640 
2013-09-04,14054 ,252 ,894 ,10825 ,1653 
2013-09-05,14065 ,255 ,898 ,10665 ,1655 
2013-09-06,13861 ,255 ,888 ,10580 ,1655 
2013-09-09,14205 ,258 ,882 ,10675 ,1672 
2013-09-10,14423 ,261 ,887 ,10605 ,1684 
2013-09-11,14425 ,262 ,901 ,10515 ,1689 
2013-09-12,14387 ,262 ,901 ,10470 ,1683 
2013-09-13,14405 ,261 ,904 ,10115 ,1688 
2013-09-16,,264 ,896 ,10245 ,1698 
2013-09-17,14312 ,263 ,898 ,10120 ,1705 
2013-09-23,,263 ,901 ,10200 ,1702 
2013-09-24,14733 ,263 ,902 ,10235 ,1697 
2013-09-25,14621 ,261 ,902 ,10205 ,1693 
2013-09-26,14799 ,263 ,913 ,10260 ,1699 
2013-09-27,14760 ,263 ,921 ,10230 ,1692 
2013-09-30,14456 ,261 ,918 ,10335 ,1682 
2013-10-01,14485 ,261 ,912 ,10250 ,1695 
2013-10-02,14170 ,262 ,915 ,9980 ,1694 
2013-10-04,14024 ,262 ,915 ,10155 ,1691 
2013-10-07,13853 ,262 ,908 ,10130 ,1676 
2013-10-08,13895 ,263 ,910 ,10225 ,1655 
2013-10-10,14195 ,263 ,908 ,10085 ,1693 
2013-10-11,14405 ,266 ,914 ,9970 ,1703 
2013-10-14,,266 ,914 ,9815 ,1710 
2013-10-15,14442 ,269 ,916 ,9800 ,1698 
2013-10-16,14467 ,268 ,902 ,9885 ,1722 
2013-10-17,14587 ,270 ,893 ,9845 ,1733 
2013-10-18,14562 ,271 ,900 ,10135 ,1745 
2013-10-21,14694 ,271 ,908 ,10160 ,1745 
2013-10-22,14713 ,271 ,913 ,10140 ,1755 
2013-10-23,14426 ,268 ,900 ,10305 ,1746 
2013-10-24,14486 ,269 ,909 ,10300 ,1752 
2013-10-25,14088 ,268 ,915 ,10340 ,1760 
2013-10-28,14396 ,270 ,915 ,10410 ,1762 
2013-10-29,14326 ,270 ,913 ,10435 ,1772 
2013-10-30,14502 ,271 ,921 ,10360 ,1763 
2013-10-31,14328 ,267 ,911 ,10430 ,1757 
2013-11-01,14202 ,269 ,913 ,10225 ,1762 
2013-11-04,,267 ,907 ,10130 ,1768 
2013-11-05,14225 ,265 ,897 ,10125 ,1763 
2013-11-06,14337 ,265 ,892 ,10130 ,1770 
2013-11-07,14228 ,263 ,880 ,10160 ,1747 
2013-11-08,14087 ,261 ,874 ,10110 ,1771 
2013-11-11,14270 ,260 ,854 ,9915 ,1772 
2013-11-12,14589 ,263 ,868 ,9860 ,1768 
2013-11-13,14567 ,258 ,859 ,9790 ,1782 
2013-11-14,14876 ,258 ,870 ,9925 ,1791 
2013-11-15,15166 ,264 ,872 ,9945 ,1798 
2013-11-18,15164 ,265 ,868 ,9940 ,1792 
2013-11-19,15127 ,268 ,863 ,9820 ,1788 
2013-11-20,15076 ,266 ,860 ,9830 ,1781 
2013-11-21,15366 ,262 ,854 ,9625 ,1796 
2013-11-22,15382 ,264 ,860 ,9595 ,1805 
2013-11-25,15619 ,265 ,870 ,9570 ,1802 
2013-11-26,15515 ,266 ,874 ,9625 ,1803 
2013-11-27,15450 ,267 ,875 ,9575 ,1807 
2013-11-28,15727 ,270 ,883 ,9565 ,
2013-11-29,15662 ,270 ,885 ,9590 ,1806 
2013-12-02,15655 ,268 ,880 ,9625 ,1801 
2013-12-03,15750 ,265 ,870 ,9425 ,1795 
2013-12-04,15408 ,261 ,867 ,9440 ,1793 
2013-12-05,15177 ,261 ,865 ,9545 ,1785 
2013-12-06,15300 ,261 ,867 ,9470 ,1805 
2013-12-09,15650 ,264 ,861 ,9490 ,1808 
2013-12-10,15611 ,263 ,856 ,9550 ,1803 
2013-12-11,15515 ,261 ,850 ,9695 ,1782 
2013-12-12,15342 ,259 ,851 ,9675 ,1776 
2013-12-13,15403 ,258 ,846 ,9480 ,1775 
2013-12-16,15153 ,258 ,834 ,9545 ,1787 
2013-12-17,15279 ,259 ,831 ,9590 ,1781 
2013-12-18,15588 ,260 ,830 ,9540 ,1811 
2013-12-19,15859 ,260 ,826 ,9445 ,1810 
2013-12-20,15870 ,261 ,834 ,9235 ,1818 
2013-12-23,,263 ,836 ,9280 ,1828 
2013-12-24,15889 ,264 ,839 ,9215 ,1833 
2013-12-26,16174 ,263 ,833 ,9260 ,1842 
2013-12-27,16179 ,263 ,850 ,9330 ,1841 
2013-12-30,16291 ,264 ,856 ,9340 ,1841 
2014-01-02,,258 ,849 ,9430 ,1832 
2014-01-03,,254 ,857 ,9490 ,1831 
2014-01-06,15909 ,255 ,858 ,9535 ,1827 
2014-01-07,15814 ,256 ,866 ,9570 ,1838 
2014-01-08,16121 ,256 ,879 ,9490 ,1837 
2014-01-09,15880 ,254 ,882 ,9450 ,1838 
2014-01-10,15912 ,252 ,878 ,9550 ,1842 
2014-01-13,,254 ,881 ,9620 ,1819 
2014-01-14,15422 ,254 ,877 ,9640 ,1839 
2014-01-15,15809 ,255 ,884 ,9590 ,1848 
2014-01-16,15747 ,255 ,888 ,9575 ,1846 
2014-01-17,15734 ,253 ,888 ,9575 ,1839 
2014-01-20,15642 ,255 ,891 ,9655 ,
2014-01-21,15796 ,256 ,894 ,9650 ,1844 
2014-01-22,15821 ,257 ,898 ,9570 ,1845 
2014-01-23,15696 ,254 ,900 ,9515 ,1828 
2014-01-24,15392 ,253 ,896 ,9690 ,1790 
2014-01-27,15006 ,249 ,871 ,9795 ,1782 
2014-01-28,14980 ,250 ,876 ,9745 ,1793 
2014-01-29,15384 ,253 ,885 ,9685 ,1774 
2014-02-03,14619 ,250 ,883 ,9585 ,1742 
2014-02-04,14008 ,245 ,871 ,9680 ,1755 
2014-02-05,14180 ,246 ,864 ,9705 ,1752 
2014-02-06,14155 ,249 ,871 ,9705 ,1773 
2014-02-07,14462 ,251 ,878 ,9715 ,1797 
2014-02-10,14718 ,250 ,884 ,9780 ,1800 
2014-02-11,,252 ,882 ,9895 ,1820 
2014-02-12,14800 ,252 ,884 ,9920 ,1819 
2014-02-13,14535 ,251 ,887 ,9965 ,1830 
2014-02-14,14313 ,253 ,886 ,10050 ,1839 
2014-02-17,14393 ,254 ,884 ,10255 ,
2014-02-18,14843 ,254 ,893 ,10145 ,1841 
2014-02-19,14767 ,253 ,904 ,10170 ,1829 
2014-02-20,14449 ,251 ,894 ,10110 ,1840 
2014-02-21,14866 ,255 ,901 ,10140 ,1836 
2014-02-24,14838 ,254 ,895 ,10220 ,1848 
2014-02-25,15052 ,256 ,899 ,10310 ,1845 
2014-02-26,14971 ,257 ,899 ,10350 ,1845 
2014-02-27,14923 ,258 ,897 ,10255 ,1854 
2014-02-28,14841 ,258 ,897 ,10315 ,1859 
2014-03-03,14652 ,256 ,900 ,10405 ,1846 
2014-03-04,14721 ,255 ,901 ,10465 ,1874 
2014-03-05,14898 ,257 ,907 ,10330 ,1874 
2014-03-06,15135 ,258 ,914 ,10320 ,1877 
2014-03-07,15274 ,257 ,921 ,10450 ,1878 
2014-03-10,15120 ,254 ,917 ,10310 ,1877 
2014-03-11,15224 ,255 ,926 ,10370 ,1868 
2014-03-12,14830 ,251 ,907 ,10465 ,1868 
2014-03-13,14816 ,251 ,922 ,10580 ,1846 
2014-03-14,14328 ,249 ,916 ,10560 ,1841 
2014-03-17,14278 ,250 ,899 ,10715 ,1859 
2014-03-18,14411 ,252 ,908 ,10540 ,1872 
2014-03-19,14463 ,251 ,911 ,10500 ,1861 
2014-03-20,14224 ,249 ,905 ,10255 ,1872 
2014-03-21,,251 ,914 ,10275 ,1867 
2014-03-24,14475 ,252 ,911 ,10240 ,1857 
2014-03-25,14423 ,252 ,898 ,10160 ,1866 
2014-03-26,14477 ,255 ,912 ,10160 ,1853 
2014-03-27,14623 ,257 ,904 ,10090 ,1849 
2014-03-28,14696 ,257 ,907 ,10005 ,1858 
2014-03-31,14828 ,258 ,904 ,10040 ,1872 
2014-04-01,14792 ,259 ,918 ,9955 ,1886 
2014-04-02,14946 ,260 ,936 ,9945 ,1891 
2014-04-03,15072 ,259 ,937 ,10000 ,1889 
2014-04-04,15064 ,259 ,942 ,9975 ,1865 
2014-04-07,14809 ,260 ,931 ,10070 ,1845 
2014-04-08,14607 ,260 ,931 ,10075 ,1852 
2014-04-09,14300 ,261 ,924 ,10150 ,1872 
2014-04-10,14300 ,262 ,928 ,10145 ,1833 
2014-04-11,13960 ,261 ,928 ,10230 ,1816 
2014-04-14,13910 ,261 ,940 ,10275 ,1831 
2014-04-15,13997 ,260 ,938 ,10225 ,1843 
2014-04-16,14418 ,260 ,941 ,10040 ,1862 
2014-04-17,14418 ,260 ,940 ,10060 ,1865 
2014-04-18,14516 ,262 ,954 ,10015 ,
2014-04-21,14512 ,261 ,951 ,9970 ,1872 
2014-04-22,14389 ,262 ,953 ,9970 ,1880 
2014-04-23,14546 ,261 ,943 ,9960 ,1875 
2014-04-24,14405 ,261 ,936 ,9945 ,1879 
2014-04-25,14429 ,257 ,928 ,10000 ,1863 
2014-04-28,14288 ,257 ,929 ,10080 ,1869 
2014-04-29,,256 ,931 ,10010 ,1878 
2014-04-30,14304 ,255 ,934 ,10015 ,1884 
2014-05-02,14458 ,255 ,930 ,9950 ,1881 
2014-05-07,14033 ,252 ,911 ,10140 ,1878 
2014-05-08,14164 ,254 ,902 ,9990 ,1876 
2014-05-09,14200 ,254 ,905 ,10000 ,1878 
2014-05-12,14150 ,256 ,908 ,9955 ,1897 
2014-05-13,14425 ,258 ,920 ,10000 ,1897 
2014-05-14,14406 ,262 ,924 ,10000 ,1889 
2014-05-15,14298 ,262 ,927 ,10060 ,1871 
2014-05-16,14097 ,263 ,919 ,10035 ,1878 
2014-05-19,14006 ,263 ,902 ,10000 ,1885 
2014-05-20,14075 ,263 ,897 ,9995 ,1873 
2014-05-21,14042 ,262 ,901 ,10030 ,1888 
2014-05-22,14338 ,263 ,902 ,10000 ,1892 
2014-05-23,14462 ,263 ,907 ,10010 ,1901 
2014-05-26,14603 ,262 ,905 ,9995 ,
2014-05-27,14637 ,260 ,905 ,9980 ,1912 
2014-05-28,14671 ,263 ,910 ,9820 ,1910 
2014-05-29,14682 ,263 ,908 ,9760 ,1920 
2014-05-30,14632 ,260 ,901 ,9740 ,1924 
2014-06-02,14936 ,261 ,886 ,9640 ,1925 
2014-06-03,15034 ,262 ,878 ,9655 ,1924 
2014-06-05,15079 ,261 ,859 ,9660 ,1940 
2014-06-09,15124 ,260 ,863 ,9720 ,1951 
2014-06-10,14995 ,263 ,879 ,9740 ,1951 
2014-06-11,15069 ,263 ,877 ,9760 ,1944 
2014-06-12,14974 ,262 ,880 ,9750 ,1930 
2014-06-13,15098 ,259 ,882 ,9875 ,1936 
2014-06-16,14933 ,259 ,880 ,9940 ,1938 
2014-06-17,14976 ,260 ,882 ,9820 ,1942 
2014-06-18,15116 ,259 ,881 ,9820 ,1957 
2014-06-19,15361 ,259 ,881 ,9920 ,1959 
2014-06-20,15349 ,255 ,881 ,10155 ,1963 
2014-06-23,15369 ,257 ,874 ,10190 ,1963 
2014-06-24,15376 ,260 ,874 ,10160 ,1950 
2014-06-25,15267 ,258 ,871 ,10155 ,1960 
2014-06-26,15308 ,260 ,874 ,10180 ,1957 
2014-06-27,15095 ,259 ,876 ,10205 ,1961 
2014-06-30,15162 ,261 ,885 ,10215 ,1960 
2014-07-01,15326 ,260 ,901 ,10285 ,1973 
2014-07-02,15370 ,262 ,909 ,10255 ,1975 
2014-07-03,15348 ,261 ,909 ,10240 ,1985 
2014-07-04,15437 ,261 ,913 ,10200 ,
2014-07-07,15379 ,260 ,914 ,10155 ,1978 
2014-07-08,15314 ,260 ,914 ,10200 ,1964 
2014-07-09,15303 ,259 ,913 ,10245 ,1973 
2014-07-10,15216 ,259 ,919 ,10340 ,1965 
2014-07-11,15164 ,257 ,912 ,10390 ,1968 
2014-07-14,15297 ,257 ,920 ,10280 ,1977 
2014-07-15,15395 ,260 ,917 ,10135 ,1973 
2014-07-16,15379 ,261 ,908 ,10085 ,1982 
2014-07-17,15370 ,262 ,914 ,10145 ,1958 
2014-07-18,15216 ,262 ,913 ,10190 ,1978 
2014-07-21,,262 ,916 ,10145 ,1974 
2014-07-22,15343 ,263 ,920 ,10130 ,1984 
2014-07-23,15329 ,263 ,917 ,10145 ,1987 
2014-07-24,15284 ,263 ,915 ,10040 ,1988 
2014-07-25,15458 ,263 ,922 ,10035 ,1978 
2014-07-28,15529 ,266 ,907 ,10100 ,1979 
2014-07-29,15618 ,268 ,887 ,10115 ,1970 
2014-07-30,15646 ,271 ,890 ,10050 ,1970 
2014-07-31,15621 ,270 ,877 ,10045 ,1931 
2014-08-01,15523 ,269 ,886 ,9975 ,1925 
2014-08-04,15475 ,270 ,901 ,10000 ,1939 
2014-08-05,15320 ,268 ,900 ,9980 ,1920 
2014-08-06,15160 ,267 ,900 ,9980 ,1920 
2014-08-07,15232 ,266 ,898 ,10105 ,1910 
2014-08-08,14778 ,262 ,895 ,10210 ,1932 
2014-08-11,15131 ,263 ,900 ,10135 ,1937 
2014-08-12,15161 ,263 ,901 ,10110 ,1934 
2014-08-13,15214 ,266 ,915 ,10130 ,1947 
2014-08-14,15315 ,266 ,928 ,10165 ,1955 
2014-08-18,15323 ,264 ,934 ,10085 ,1972 
2014-08-19,15450 ,267 ,937 ,10090 ,1982 
2014-08-20,15454 ,267 ,934 ,10050 ,1987 
2014-08-21,15586 ,263 ,935 ,9995 ,1992 
2014-08-22,15539 ,264 ,940 ,9930 ,1988 
2014-08-25,15613 ,264 ,938 ,9940 ,1998 
2014-08-26,15521 ,265 ,944 ,9965 ,2000 
2014-08-27,15535 ,266 ,941 ,9935 ,2000 
2014-08-28,15460 ,266 ,946 ,9990 ,1997 
2014-08-29,15425 ,265 ,944 ,10010 ,2003 
2014-09-01,15477 ,265 ,940 ,9990 ,
2014-09-02,15669 ,263 ,945 ,9970 ,2002 
2014-09-03,15728 ,262 ,949 ,9855 ,2001 
2014-09-04,15676 ,263 ,950 ,9860 ,1998 
2014-09-05,15669 ,262 ,954 ,9825 ,2008 
2014-09-11,15909 ,260 ,954 ,9695 ,1997 
2014-09-12,15948 ,261 ,952 ,9590 ,1986 
2014-09-15,,261 ,941 ,9585 ,1984 
2014-09-16,15912 ,261 ,953 ,9605 ,1999 
2014-09-17,15889 ,264 ,955 ,9625 ,2002 
2014-09-18,16068 ,262 ,958 ,9515 ,2011 
2014-09-19,16321 ,262 ,963 ,9505 ,2010 
2014-09-22,16206 ,260 ,952 ,9400 ,1994 
2014-09-23,,258 ,953 ,9470 ,1983 
2014-09-24,16167 ,259 ,962 ,9490 ,1998 
2014-09-25,16374 ,258 ,960 ,9415 ,1966 
2014-09-26,16230 ,258 ,960 ,9450 ,1983 
2014-09-29,16311 ,258 ,944 ,9450 ,1978 
2014-09-30,16174 ,257 ,954 ,9455 ,1972 
2014-10-01,16082 ,253 ,944 ,9355 ,1946 
2014-10-02,15662 ,250 ,949 ,9450 ,1946 
2014-10-06,15891 ,249 ,943 ,9230 ,1965 
2014-10-07,15784 ,250 ,933 ,9320 ,1935 
2014-10-08,15596 ,248 ,938 ,9395 ,1969 
2014-10-10,15301 ,245 ,917 ,9455 ,1906 
2014-10-13,,244 ,879 ,9525 ,1875 
2014-10-14,14937 ,244 ,899 ,9540 ,1878 
2014-10-15,15074 ,244 ,897 ,9500 ,1862 
2014-10-16,14738 ,243 ,898 ,9625 ,1863 
2014-10-17,14533 ,240 ,902 ,9605 ,1887 
2014-10-20,15111 ,244 ,917 ,9585 ,1904 
2014-10-21,14804 ,241 ,919 ,9670 ,1941 
2014-10-22,15196 ,244 ,932 ,9660 ,1927 
2014-10-23,15139 ,243 ,934 ,9610 ,1951 
2014-10-24,15292 ,243 ,924 ,9535 ,1965 
2014-10-27,15389 ,244 ,923 ,9535 ,1962 
2014-10-28,15330 ,243 ,928 ,9500 ,1985 
2014-10-29,15554 ,249 ,925 ,9515 ,1982 
2014-10-30,15658 ,249 ,917 ,9385 ,1995 
2014-10-31,16414 ,250 ,920 ,9240 ,2018 
2014-11-03,,249 ,903 ,9075 ,2018 
2014-11-04,16862 ,247 ,888 ,9035 ,2012 
2014-11-05,16937 ,246 ,890 ,8965 ,2024 
2014-11-06,16792 ,247 ,874 ,8895 ,2031 
2014-11-07,16880 ,247 ,885 ,8765 ,2032 
2014-11-10,16781 ,251 ,886 ,9085 ,2038 
2014-11-11,17124 ,250 ,895 ,8950 ,2040 
2014-11-12,17197 ,251 ,893 ,9045 ,2038 
2014-11-13,17393 ,250 ,895 ,9000 ,2039 
2014-11-14,17491 ,248 ,883 ,8985 ,2040 
2014-11-17,16974 ,248 ,862 ,9220 ,2041 
2014-11-18,17344 ,251 ,871 ,9205 ,2052 
2014-11-19,17289 ,250 ,884 ,9240 ,2049 
2014-11-20,17301 ,249 ,884 ,9170 ,2053 
2014-11-21,17358 ,250 ,892 ,9225 ,2064 
2014-11-24,,252 ,893 ,9310 ,2069 
